UnidadeAdm - Código;Situação UnidadeAdm;UnidadeAdm - Nome;UnidadeAdm - Sigla
1026091567;ATIVO;COLÉGIO TIRADENTES PMMG -UNIDADE ARGENTINO MADEIRA;CTPMMGUAMZ
1026091568;ATIVO;EE ADALBERTO FERRAZ;EEAF2Z
1026091569;ATIVO;EE AFONSO PENA;EEAFPZ
1026091570;ATIVO;EE ANA DE CARVALHO SILVEIRA;EEADCS3Z
1026091571;ATIVO;EE ARTUR JOVIANO;EEAJZ
1026091572;ATIVO;EE ASSIS CHATEAUBRIAND;EEASSCHAZ
1026091573;ATIVO;EE AUGUSTO DE LIMA;EEADL2Z
1026091574;ATIVO;EE BARÃO DE MACAÚBAS;EEBDMZ
1026091575;ATIVO;EE BARÃO DO RIO BRANCO;EEBDRB3Z
1026091576;ATIVO;EE BENJAMIM GUIMARÃES;EEBG2Z
1026091577;ATIVO;EE BOLIVAR TINOCO MINEIRO;EEBTMZ
1026091578;ATIVO;EE BUENO BRANDÃO;EEBB1Z
1026091579;ATIVO;EE CAMINHO A LUZ;EECAL2Z
1026091580;ATIVO;EE CARLOS CAMPOS;EECARCAMZ
1026091581;ATIVO;EE CARLOS GÓES;EECGOEZ
1026091582;ATIVO;EE CESÁRIO ALVIM;EECALVZ
1026091583;ATIVO;EE CORAÇÃO EUCARÍSTICO;EECEZ
1026091584;ATIVO;EE CORONEL VICENTE TORRES JÚNIOR;EECVTJZ
1026091585;ATIVO;EE DEPUTADO ILACIR PEREIRA LIMA;EEDIPLZ
1026091586;ATIVO;EE DO INSTITUTO AGRONÔMICO;EEDIAZ
1026091587;ATIVO;EE DONA ARGENTINA VIANNA CASTELO BRANCO;EEDAVCBZ
1026091588;ATIVO;EE DONA AUGUSTA GONÇALVES NOGUEIRA;EEDAGNZ
1026091589;ATIVO;EE DULCE PINTO RODRIGUES;EEDPRZ
1026091590;ATIVO;EE EFIGÚNIO SALLES;EEES1Z
1026091591;ATIVO;EE ENGENHEIRO PRADO LOPES;EEEPLZ
1026091592;ATIVO;EE ENGENHEIRO SÍLVIO FONSECA;EEESFZ
1026091593;ATIVO;EE ESTEVÃO PINTO;EEEP2Z
1026091594;ATIVO;EE FLÁVIO DOS SANTOS;EEFDS2Z
1026091595;ATIVO;EE FRANCISCO SALES-INSTITUTO DE DEFICIÚNCIA DA FALA E AUDIÇÃO;EEFSDDDFEAZ
1026091596;ATIVO;EE GERALDINA SOARES;EEGS2Z
1026091597;ATIVO;EE GOVERNADOR MILTON CAMPOS;EEGMCZ
1026091598;ATIVO;EE HELENA PENA;EEHPZ
1026091599;ATIVO;EE HENRIQUE DINIZ;EEHD2Z
1026091600;ATIVO;EE ISABEL DA SILVA POLCK;EEIDSPZ
1026091601;ATIVO;EE JOÃO ALPHONSUS;EEJA2Z
1026091602;ATIVO;EE JOSÉ BONIFÁCIO;EEJB2Z
1026091603;ATIVO;EE JOSÉ DE ALENCAR;EEJDA1Z
1026091604;ATIVO;EE JOSÉ IZIDORO DE MIRANDA;EEJIDMZ
1026091605;ATIVO;EE JOSÉ MENDES JÚNIOR;EEJMJZ
1026091606;ATIVO;EE JOVEM PROTAGONISTA;EEJPROZ
1026091607;ATIVO;EE JÚLIA LOPES DE ALMEIDA;EEJLDAZ
1026091608;ATIVO;EE LAR DOS MENINOS;EELDM1Z
1026091609;ATIVO;EE LAUDIEME VAZ DE MELO;EELVDMZ
1026091610;ATIVO;EE LAURA DAS CHAGAS FERREIRA;EELDCFZ
1026091611;ATIVO;EE LUIZ DE BESSA;EELDBZ
1026091612;ATIVO;EE MAESTRO VILLA LOBOS;EEMVLZ
1026091613;ATIVO;EE MAJOR DELFINO DE PAULA RICARDO;EEMDDPRZ
1026091614;ATIVO;EE MARECHAL DEODORO DA FONSECA;EEMDDFZ
1026091615;ATIVO;EE MARIA DE LOURDES DE OLIVEIRA;EEMDLDOZ
1026091616;ATIVO;EE MARIANO DE ABREU;EEMDA2Z
1026091617;ATIVO;EE MENDES PIMENTEL;EEMPIMZ
1026091618;ATIVO;EE NECÉSIO TAVARES;EENTZ
1026091619;ATIVO;EE OLEGÁRIO MACIEL;EEOM1Z
1026091620;ATIVO;EE ONDINA AMARAL BRANDÃO;EEOABZ
1026091621;ATIVO;EE PANDIÁ CALÓGERAS;EEPCALZ
1026091622;ATIVO;EE PAULO DAS GRAÇAS DA SILVA;EEPDGDSZ
1026091623;ATIVO;EE PEDRO FRANCA;EEPF2Z
1026091624;ATIVO;EE PEDRO II;EEPI2Z
1026091625;ATIVO;EE PERO VAZ DE CAMINHA;EEPVDCZ
1026091626;ATIVO;EE PESTALOZZI;EEPES2Z
1026091627;ATIVO;EE PRESIDENTE ANTÔNIO CARLOS;EEPAC3Z
1026091628;ATIVO;EE PRESIDENTE DUTRA;EEPDUTZ
1026091629;ATIVO;EE PROFESSOR ANTÔNIO JOSÉ RIBEIRO FILHO;EEPAJRFZ
1026091630;ATIVO;EE PROFESSOR CAETANO AZEREDO;EEPCA3Z
1026091631;ATIVO;EE PROFESSOR GUILHERME AZEVEDO LAGE;EEPGALZ
1026091632;ATIVO;EE PROFESSOR JOSÉ MESQUITA DE CARVALHO;EEPJMDCZ
1026091633;ATIVO;EE PROFESSOR LEOPOLDO DE MIRANDA;EEPLDMZ
1026091634;ATIVO;EE PROFESSOR NEIDSON RODRIGUES;EEPNRZ
1026091635;ATIVO;EE PROFESSOR PEDRO ALEIXO;EEPPAZ
1026091636;ATIVO;EE PROFESSORA ALAÍDE LISBOA DE OLIVEIRA;EEPALDOZ
1026091637;ATIVO;EE PROFESSORA AMÉLIA DE CASTRO MONTEIRO;EEPADCM2Z
1026091638;ATIVO;EE PROFESSORA HENRIQUETA LISBOA;EEPHL2Z
1026091639;ATIVO;EE PROFESSORA MARIA AMÉLIA GUIMARÃES;EEPMAGZ
1026091640;ATIVO;EE PROFESSORA MARIA CECÍLIA DE MELO;EEPMCDMZ
1026091641;ATIVO;EE SAGRADA FAMÍLIA I;EESFIZ
1026091642;ATIVO;EE SAGRADA FAMÍLIA II;EESFI2Z
1026091643;ATIVO;EE SANDOVAL DE AZEVEDO;EESDAZ
1026091644;ATIVO;EE SANTO AFONSO;EESANAFOZ
1026091645;ATIVO;EE SARAH KUBITSCHEK BAIRRO GRAÇA;EESKBGZ
1026091646;ATIVO;EE SARAH KUBITSCHEK IPIRANGA;EESKI2Z
1026091647;ATIVO;EE SARAH KUBITSCHEK SÃO GERALDO;EESKSGZ
1026091648;ATIVO;EE SÉRGIA CALDEIRA ALKIMIN;EESCAZ
1026091649;ATIVO;EE TÉCNICO INDUSTRIAL PROFESSOR FONTES;EETIPFZ
1026091650;ATIVO;EE TITO FULGÚNCIO;EETFZ
1026091651;ATIVO;EE WALT DISNEY;EEWDZ
1026091652;ATIVO;EE ZILDA ARNS NEUMANN;EEZANZ
1026091653;ATIVO;INSTITUTO DE EDUCAÇÃO DE MINAS GERAIS;IDEDMGZ
1026091654;ATIVO;INSTITUTO SÃO RAFAEL;ISRZ
1026091655;ATIVO;EE DOUTOR GAMA CERQUEIRA;EEDGCZ
1026091656;ATIVO;EE DE FELIPE;EEDF1Z
1026091657;ATIVO;EE EDMUNDO PENA;EEEPENZ
1026091658;ATIVO;EE MELO VIANA;EEMV3Z
1026091659;ATIVO;EE DE ENSINO MÉDIO;EEDEM12Z
1026091660;ATIVO;EE PAULINA ALUOTTO FERREIRA;EEPAF1Z
1026091661;ATIVO;EE PAULO NETO ALKIMIM;EEPNA1Z
1026091662;ATIVO;EE CARLINDO CAETANO PINTO;EECCPZ
1026091663;ATIVO;EE FRANCISCO DE PAULA CASTRO;EEFDPCZ
1026091664;ATIVO;EE JOSÉ BRANDÃO;EEJBRAZ
1026091665;ATIVO;EE JOSÉ PEREIRA CANÇADO;EEJPCZ
1026091666;ATIVO;EE PAULO PINHEIRO DA SILVA;EEPPDSZ
1026091667;ATIVO;EE PRESIDENTE TANCREDO NEVES;EEPTN6Z
1026091668;ATIVO;EE SEBASTIÃO RIBEIRO DE BRITO;EESRDBZ
1026091669;ATIVO;EE SENHORA DO BONSUCESSO;EESDBZ
1026091670;ATIVO;EE ALZIRA AYRES PEREIRA;EEAAPZ
1026091671;ATIVO;EE DOM SILVÉRIO;EEDSILZ
1026091672;ATIVO;EE SENADOR MELO VIANA;EESMVZ
1026091673;ATIVO;EE AUGUSTO DE LIMA;EEADL1Z
1026091674;ATIVO;EE DENIZ VALE;EEDV3Z
1026091675;ATIVO;EE GEORGE CHALMERS;EEGCHAZ
1026091676;ATIVO;EE JOÃO FELIPE DA ROCHA;EEJFDR1Z
1026091677;ATIVO;EE JOSEFINA WANDERLEY AZEREDO;EEJWAZ
1026091678;ATIVO;EE MARIA JOSEFINA SALES WARDI;EEMJSWZ
1026091679;ATIVO;EE CORONEL JOSÉ NUNES MELO JÚNIOR;EECJNMJZ
1026091680;ATIVO;EE DO CARMO;EEDC13Z
1026091681;ATIVO;EE NOVA APARECIDA;EENA3Z
1026091682;ATIVO;EE PADRE PEDRO THYSEN;EEPPTZ
1026091683;ATIVO;EE DOM CIRILO DE PAULA FREITAS;EEDCDPFZ
1026091684;ATIVO;EE DOUTOR CÍCERO CORREA DE ARAÚJO;EEDCCDAZ
1026091685;ATIVO;EE HELENA VIEIRA GONÇALVES;EEHVGZ
1026091686;ATIVO;EE SANTO ANTÔNIO;EESA2Z
1026091687;ATIVO;EE LUIZ BORGES FERREIRA GONZAGA;EELBFGZ
1026091688;ATIVO;EE CARVALHO BRITO;EECBRIZ
1026091689;ATIVO;EE CHRISTIANO GUIMARÃES;EECGUIZ
1026091690;ATIVO;EE CORONEL ADELINO CASTELO BRANCO;EECACBZ
1026091691;ATIVO;EE DONA BILU FIGUEIREDO;EEDBFZ
1026091692;ATIVO;EE ELÍSIO CARVALHO DE BRITO;EEECDBZ
1026091693;ATIVO;EE GENERAL CARNEIRO;EEGCARZ
1026091694;ATIVO;EE JOSÉ LUIZ GONZAGA FERREIRA;EEJLGFZ
1026091695;ATIVO;EE JUQUINHA DE ALMEIDA;EEJDALMZ
1026091696;ATIVO;EE MARIA FLORIPES NASCIMENTO ALVES;EEMFNAZ
1026091697;ATIVO;EE PAULA ROCHA;EEPROCZ
1026091698;ATIVO;EE PRESIDENTE EURICO GASPAR DUTRA;EEPEGDZ
1026091699;ATIVO;EE PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA;EEPJKDO2Z
1026091700;ATIVO;EE PROFESSOR JOÃO DE ARRUDA PINTO;EEPJDAPZ
1026091701;ATIVO;EE PROFESSOR ZOROASTRO VIANNA PASSOS;EEPZVPZ
1026091702;ATIVO;EE PROFESSORA ANGÉLICA MARIA DE ALMEIDA;EEPAMDAZ
1026091703;ATIVO;EE PROFESSORA MARIA ELIZABETH VIANA;EEPMEVZ
1026091704;ATIVO;EE AFONSO PENA;EEAPENZ
1026091705;ATIVO;EE DOM BOSCO;EEDB2Z
1026091706;ATIVO;EE JOSÉ ÁLVARES DUARTE;EEJÁDZ
1026091707;ATIVO;EE PROFESSORA NHANITA;EEPN2Z
1026091708;ATIVO;EE RODRIGO DE CASTRO MOREIRA PENA;EERDCMPZ
1026091709;ATIVO;COLÉGIO TIRADENTES PMMG - UNIDADE GAMELEIRA;CTP-UGZ
1026091710;ATIVO;COLÉGIO TIRADENTES PMMG- UNIDADE PRADO;CTPUPZ
1026091711;ATIVO;EE AARÃO REIS;EEAREIZ
1026091712;ATIVO;EE ALBERTO DELPINO;EEAD1Z
1026091713;ATIVO;EE ÁLVARO LAUREANO PIMENTEL;EEÁLP2Z
1026091714;ATIVO;EE ALZIRA ALBUQUERQUE MOSQUEIRA;EEAAM1Z
1026091715;ATIVO;EE AMÉLIA JOSEFINA KEESEN;EEAJKZ
1026091716;ATIVO;EE ASSIS DAS CHAGAS;EEADC2Z
1026091717;ATIVO;EE BERNARDO MONTEIRO;EEBM2Z
1026091718;ATIVO;EE CABANA DO PAI TOMÁS;EECDPTZ
1026091719;ATIVO;EE CAIO NELSON DE SENA;EECNDS2Z
1026091720;ATIVO;EE CÂNDIDA CABRAL;EECANCABZ
1026091721;ATIVO;EE CÂNDIDO PORTINARI;EECPORZ
1026091722;ATIVO;EE CARMO GIFFONI;EECGIFZ
1026091723;ATIVO;EE CECÍLIA MEIRELES;EECECIMEIZ
1026091724;ATIVO;EE CELSO MACHADO;EECELMACHZ
1026091725;ATIVO;EE CRISTIANO MACHADO;EECMACHZ
1026091726;ATIVO;EE DESEMBARGADOR MÁRIO GONÇALVES DE MATOS;EEDMGDMZ
1026091727;ATIVO;EE DESEMBARGADOR RODRIGUES CAMPOS;EEDRCZ
1026091728;ATIVO;EE DIOGO DE VASCONCELOS;EEDDVZ
1026091729;ATIVO;EE DIVINA PROVIDÚNCIA;EEDPROVZ
1026091730;ATIVO;EE DOM CABRAL;EEDC14Z
1026091731;ATIVO;EE DOMINGAS MARIA DE ALMEIDA;EEDMDA1Z
1026091732;ATIVO;EE DOUTOR AMARO NEVES BARRETO;EEDANBZ
1026091733;ATIVO;EE DOUTOR ANTÔNIO AUGUSTO SOARES CANEDO;EEDAASCZ
1026091734;ATIVO;EE DOUTOR AURINO MORAIS;EEDAM3Z
1026091735;ATIVO;EE DOUTOR EUZÉBIO DIAS BICALHO;EEDEDBZ
1026091736;ATIVO;EE DOUTOR JOSÉ DO PATROCÍNIO DA SILVA PONTES;EEDJDPDSPZ
1026091737;ATIVO;EE DOUTOR LUCAS MONTEIRO MACHADO;EEDLMMZ
1026091738;ATIVO;EE DOUTOR PAULO DINIZ CHAGAS;EEDPDC2Z
1026091739;ATIVO;EE DOUTOR SIMÃO TAMM BIAS FORTES;EEDSTBFZ
1026091740;ATIVO;EE DUQUE DE CAXIAS;EEDDC2Z
1026091741;ATIVO;EE ELISEU LABORNE E VALE;EEELEVZ
1026091742;ATIVO;EE ELPÁDIO ARISTIDES DE FREITAS;EEEADFZ
1026091743;ATIVO;EE EMÍLIA CERDEIRA;EEEC1Z
1026091744;ATIVO;EE ENGENHEIRO FRANCISCO BICALHO;EEEFBZ
1026091745;ATIVO;EE GENERAL CARLOS LUIZ GUEDES;EEGCLGZ
1026091746;ATIVO;EE GERALDO JARDIM LINHARES;EEGJLZ
1026091747;ATIVO;EE GERALDO TEIXEIRA DA COSTA;EEGTDCZ
1026091748;ATIVO;EE GUIA LOPES;EEGL3Z
1026091749;ATIVO;EE GUIMARÃES ROSA;EEGR2Z
1026091750;ATIVO;EE HERMENEGILDO CHAVES;EEHCZ
1026091751;ATIVO;EE HUGO WERNECK;EEHWZ
1026091752;ATIVO;EE JOÃO PAULO I;EEJPI2Z
1026091753;ATIVO;EE JOSÉ MENDES CORRÚA;EEJMC1Z
1026091754;ATIVO;EE JOSÉ MIGUEL DO NASCIMENTO;EEJMDNZ
1026091755;ATIVO;EE LAÍCE AGUIAR;EELA2Z
1026091756;ATIVO;EE LÚCIO DOS SANTOS;EELDSZ
1026091757;ATIVO;EE MANUEL CASASANTA;EEMANCZ
1026091758;ATIVO;EE MARGARIDA BROCHADO;EEMBROZ
1026091759;ATIVO;EE MARIETA BROCHADO;EEMARBZ
1026091760;ATIVO;EE MÁRIO CASASSANTA;EEMARCZ
1026091761;ATIVO;EE MAURÍCIO MURGEL;EEMMURZ
1026091762;ATIVO;EE MELO VIANA;EEMV4Z
1026091763;ATIVO;EE MINISTRO ALFREDO VILHENA VALLADÃO;EEMAVVZ
1026091764;ATIVO;EE NOSSA SENHORA APARECIDA;EENSA5Z
1026091765;ATIVO;EE NOSSA SENHORA DO BELO RAMO;EENSDBRZ
1026091766;ATIVO;EE ODILON BEHRENS;EEOB2Z
1026091767;ATIVO;EE OLÍMPIA REZENDE PEREIRA;EEORP2Z
1026091768;ATIVO;EE OLÍVIA PINTO DE CASTRO LEITE;EEOPDCLZ
1026091769;ATIVO;EE ORDEM E PROGRESSO;EEOEPZ
1026091770;ATIVO;EE PADRE EUSTÁQUIO;EEPE3Z
1026091771;ATIVO;EE PADRE JOÃO BOSCO PENIDO BURNIER;EEPJBPBZ
1026091772;ATIVO;EE PADRE JOÃO BOTELHO;EEPJBOTZ
1026091773;ATIVO;EE PADRE JOÃO MARIA KOOYMAN;EEPJMKZ
1026091774;ATIVO;EE PADRE MATIAS;EEPMATZ
1026091775;ATIVO;EE PEDRO DUTRA;EEPDZ
1026091776;ATIVO;EE PRINCESA ISABEL;EEPI1Z
1026091777;ATIVO;EE PROFESSOR ALCINDO VIEIRA;EEPAV3Z
1026091778;ATIVO;EE PROFESSOR ALISSON PEREIRA GUIMARÃES;EEPAPGZ
1026091779;ATIVO;EE PROFESSOR CLÁUDIO BRANDÃO;EEPCB2Z
1026091780;ATIVO;EE PROFESSOR CLÓVIS SALGADO;EEPCS2Z
1026091781;ATIVO;EE PROFESSOR FRANCISCO BRANT;EEPFB2Z
1026091782;ATIVO;EE PROFESSOR LEON RENAULT;EEPLRZ
1026091783;ATIVO;EE PROFESSOR MAGALHÃES DRUMOND;EEPMDZ
1026091784;ATIVO;EE PROFESSOR MORAIS;EEPMORZ
1026091785;ATIVO;EE PROFESSOR RICARDO DE SOUZA CRUZ;EEPRDSCZ
1026091786;ATIVO;EE PROFESSORA BENVINDA DE CARVALHO;EEPBDCZ
1026091787;ATIVO;EE PROFESSORA MARIA AUXILIADORA LANNA;EEPMALZ
1026091788;ATIVO;EE PROFESSORA MARIA BELMIRA TRINDADE;EEPMBTZ
1026091789;ATIVO;EE PROFESSORA MARIA DO SOCORRO ANDRADE;EEPMDSAZ
1026091790;ATIVO;EE PROFESSORA NAIR DE OLIVEIRA SANTANA;EEPNDOSZ
1026091791;ATIVO;EE SANDRA RISOLETA DE LIMA HAUCK;EESRDLHZ
1026091792;ATIVO;EE SANTOS ANJOS;EESANANJZ
1026091793;ATIVO;EE SÃO BENTO;EESBENZ
1026091794;ATIVO;EE SÃO SALVADOR;EESS6Z
1026091795;ATIVO;EE SILVIANO BRANDÃO;EESBRAZ
1026091796;ATIVO;EE TOMÁS BRANDÃO;EETB1Z
1026091797;ATIVO;EE URSULINA DE ANDRADE MELO;EEUDAMZ
1026091798;ATIVO;CESEC DE BETIM;CDBETZ
1026091799;ATIVO;COLÉGIO TIRADENTES PMMG;CTPSREMBZ
1026091800;ATIVO;EE AMÉLIA SANTANA BARBOSA;EEASBZ
1026091801;ATIVO;EE ANTÔNIO AUGUSTO RIBEIRO;EEAARZ
1026091802;ATIVO;EE CÂNDIDO PORTINARI;EECANPZ
1026091803;ATIVO;EE CARLOS DRUMOND DE ANDRADE;EECDDA3Z
1026091804;ATIVO;EE CECÍLIA MEIRELES;EECECMEZ
1026091805;ATIVO;EE CONSELHEIRO AFONSO PENA;EECAP1Z
1026091806;ATIVO;EE DE ENSINO MÉDIO;EEDEM13Z
1026091807;ATIVO;EE DE ENSINO MÉDIO;EEDEM14Z
1026091808;ATIVO;EE DEPUTADO SIMÃO DA CUNHA;EEDSDC2Z
1026091809;ATIVO;EE DO BAIRRO AMAZONAS;EEDBA2Z
1026091810;ATIVO;EE DO BAIRRO SÃO CAETANO;EEDBSCZ
1026091811;ATIVO;EE DR ORESTES DINIZ;EEDOD2Z
1026091812;ATIVO;EE DR RENATO AZEREDO;EEDRA2Z
1026091813;ATIVO;EE ESTUDANTE LÍVIA MARA DE CASTRO;EEELMDCZ
1026091814;ATIVO;EE GRAMONT ALVES GONTIJO;EEGAG2Z
1026091815;ATIVO;EE JOÃO GUIMARÃES ROSA;EEJGR2Z
1026091816;ATIVO;EE JOÃO PAULO I;EEJPI1Z
1026091817;ATIVO;EE JUSCELINO KUBITSCHEK DE OLIVEIRA;EEJKDO3Z
1026091818;ATIVO;EE NASCIMENTO NUNES LEAL;EENNLZ
1026091819;ATIVO;EE NEWTON AMARAL;EENA2Z
1026091820;ATIVO;EE NOSSA SENHORA DO CARMO;EENSDC3Z
1026091821;ATIVO;EE PROFESSOR CARLOS LÚCIO DE ASSIS;EEPCLDAZ
1026091822;ATIVO;EE PROFESSOR OSVALDO FRANCO;EEPOFZ
1026091823;ATIVO;EE PROFESSORA LOURDES BERNADETE SILVA;EEPLBSZ
1026091824;ATIVO;EE PROFESSORA VERA MARIA REZENDE;EEPVMRZ
1026091825;ATIVO;EE SARAH KUBITSCHEK;EESK2Z
1026091826;ATIVO;EE SENADOR TEOTÔNIO VILELA;EESTVZ
1026091827;ATIVO;EE SÍLVIO LOBO;EESLOBZ
1026091828;ATIVO;EE TITO LÍVIO DE SOUZA;EETLDSZ
1026091829;ATIVO;CESEC CLEMENTE DE FARIA;CCDFZ
1026091830;ATIVO;COLÉGIO TIRADENTES PMMG;CTPSREMB2Z
1026091831;ATIVO;EE ADRIANO JOSÉ COSTA;EEAJCZ
1026091832;ATIVO;EE BOA VISTA;EEBVISZ
1026091833;ATIVO;EE CATARINA JORGE GONÇALVES;EECJGZ
1026091834;ATIVO;EE CONFRADE ANTÔNIO PEDRO DE CASTRO;EECAPDCZ
1026091835;ATIVO;EE DE ENSINO MÉDIO;EEDEM15Z
1026091836;ATIVO;EE DEPUTADO CLÁUDIO PINHEIRO;EEDCP2Z
1026091837;ATIVO;EE DEPUTADO RENATO AZEREDO;EEDRA3Z
1026091838;ATIVO;EE DEPUTADO SIMÃO DA CUNHA;EEDSDC1Z
1026091839;ATIVO;EE DOM BOSCO;EEDB3Z
1026091840;ATIVO;EE DOUTOR JOSÉ ROBERTO DE AGUIAR;EEDJRDAZ
1026091841;ATIVO;EE ELZA MENDONÇA FOULY;EEEMFZ
1026091842;ATIVO;EE FRANCISCO FIRMO DE MATOS;EEFFDMZ
1026091843;ATIVO;EE GOVERNADOR ISRAEL PINHEIRO;EEGIP1Z
1026091844;ATIVO;EE GUILHERMINO DE OLIVEIRA;EEGDOZ
1026091845;ATIVO;EE HELENA GUERRA;EEHG2Z
1026091846;ATIVO;EE IMACULADA CONCEIÇÃO;EEIC5Z
1026091847;ATIVO;EE JOSÉ DA SILVA COUTO;EEJDSCZ
1026091848;ATIVO;EE JUVENTINA PINTO BRANDÃO;EEJPB2Z
1026091849;ATIVO;EE LAURITA DE MELO MOREIRA;EELDMMZ
1026091850;ATIVO;EE MANOEL DE MATTOS PINHO;EEMDMP2Z
1026091851;ATIVO;EE MARIA DAS GRAÇAS COSTA;EEMDGCZ
1026091852;ATIVO;EE MARIA DE SALLES FERREIRA;EEMDSFZ
1026091853;ATIVO;EE MÁRIO ELIAS DE CARVALHO;EEMEDCZ
1026091854;ATIVO;EE MINISTRO MIGUEL MENDONÇA;EEMMMZ
1026091855;ATIVO;EE NAIR MENDES MOREIRA;EENMMZ
1026091856;ATIVO;EE NOVA CONTAGEM;EENC2Z
1026091857;ATIVO;EE PADRE CAMARGOS;EEPCAMAZ
1026091858;ATIVO;EE PADRE JOSÉ MARIA DE MAN;EEPJMDM1Z
1026091859;ATIVO;EE PRESIDENTE TANCREDO NEVES;EEPTN7Z
1026091860;ATIVO;EE PROFESSOR PAULO FREIRE;EEPPF2Z
1026091861;ATIVO;EE PROFESSORA CONCEIÇÃO HILÁRIO;EEPCHZ
1026091862;ATIVO;EE PROFESSORA LÍGIA MARIA DE MAGALHÃES;EEPLMDMZ
1026091863;ATIVO;EE PROFESSORA MARIA COUTINHO;EEPMCOUTZ
1026091864;ATIVO;EE ROBERTO FERNANDES;EERF2Z
1026091865;ATIVO;EE RUY PIMENTA;EERPIMEZ
1026091866;ATIVO;EE VINÍCIUS DE MORAES;EEVDMZ
1026091867;ATIVO;EE DE ENSINO MÉDIO;EEDEM16Z
1026091868;ATIVO;EE DE LAGOA;EEDLAGZ
1026091869;ATIVO;EE DE MELO VIANA;EEDMV1Z
1026091870;ATIVO;EE JOÃO NAZÁRIO;EEJN1Z
1026091871;ATIVO;EE PROFESSOR AUGUSTO LUCAS;EEPAL1Z
1026091872;ATIVO;EE PROFESSOR RAYMUNDO CÂNDIDO;EEPRCZ
1026091873;ATIVO;EE SANTA QUITÉRIA;EESQZ
1026091874;ATIVO;EE SANTA TEREZA;EESTERZ
1026091875;ATIVO;EE SÃO TOMAZ DE AQUINO;EESTDA2Z
1026091876;ATIVO;EE TEÓFILO ALVES DA SILVA;EETADSZ
1026091877;ATIVO;EE VISCONDE DE CAETÉ;EEVDCZ
1026091878;ATIVO;CESEC DE IBIRITÉ;CDIBIZ
1026091879;ATIVO;EE ANTÔNIO MARINHO CAMPOS;EEAMCZ
1026091880;ATIVO;EE ANTÔNIO PINHEIRO DINIZ;EEAPDZ
1026091881;ATIVO;EE CORA CORALINA;EECORCORZ
1026091882;ATIVO;EE DE ENSINO FUNDAMENTAL E MÉDIO;EEDEFEM6Z
1026091883;ATIVO;EE DOS PALMARES;EEDPALZ
1026091884;ATIVO;EE GYSLAINE DE FREITAS ARAÚJO;EEGDFAZ
1026091885;ATIVO;EE IMPERATRIZ PIMENTA;EEIP2Z
1026091886;ATIVO;EE JOÃO ANTÔNIO SIQUEIRA;EEJAS1Z
1026091887;ATIVO;EE JOÃO FERREIRA DE FREITAS;EEJFDFZ
1026091888;ATIVO;EE JOSÉ RODRIGUES BETIM;EEJRBZ
1026091889;ATIVO;EE JUSCELINO KUBITSCHEK  DE OLIVEIRA;EEJKDO2Z
1026091890;ATIVO;EE MARIA ALVES NAGY VARGA;EEMANVZ
1026091891;ATIVO;EE NO PARQUE ELIZABETH;EENPEZ
1026091892;ATIVO;EE PEDRO EVANGELISTA DINIZ;EEPED2Z
1026091893;ATIVO;EE PROFESSORA ELZA CARDOSO RANGEL;EEPECRZ
1026091894;ATIVO;EE PROFESSORA YOLANDA MARTINS;EEPYMZ
1026091895;ATIVO;EE SANDOVAL SOARES DE AZEVEDO;EESSDAZ
1026091896;ATIVO;EE CRISTIANO CHAVES DE OLIVEIRA;EECCDOZ
1026091897;ATIVO;EE JOAQUIM JOSÉ PEREIRA;EEJJPZ
1026091898;ATIVO;EE JOELMA ALVES DE OLIVEIRA;EEJADOZ
1026091899;ATIVO;EE JOSÉ AMÂNCIO DOS SANTOS;EEJADS2Z
1026091900;ATIVO;EE PROFESSORA MARIA DE MAGALHÃES PINTO;EEPMDMPZ
1026091901;ATIVO;EE RACHEL IANCU STEURMAM;EERISZ
1026091902;ATIVO;EE SANTA CHIARA;EESCHIZ
1026091903;ATIVO;EE JOAQUIM CORREA;EEJCORZ
1026091904;ATIVO;EE MARIA RITA DUARTE;EEMRDZ
1026091905;ATIVO;EE CONSELHEIRO AFONSO PENA;EECAP2Z
1026091906;ATIVO;EE DE MÁRIO CAMPOS;EEDMC2Z
1026091907;ATIVO;EE ALVINO ALCÂNTARA FERNANDES;EEAAF2Z
1026091908;ATIVO;EE DOMINGOS JUSTINO RIBEIRO;EEDJRZ
1026091909;ATIVO;EE ELIAS SALOMÃO;EEES2Z
1026091910;ATIVO;EE MANOEL ANTÔNIO DE SOUSA;EEMADS1Z
1026091911;ATIVO;EE ANTÔNIO RIBEIRO DA SILVA;EEARDS1Z
1026091912;ATIVO;EE NOSSA SENHORA DA PAZ;EENSDPAZZ
1026091913;ATIVO;EE PADRE CARLOS ROBERTO MARQUES;EEPCRMZ
1026091914;ATIVO;EE PATROCÍNIA CÂNDIDA DE OLIVEIRA;EEPCDO2Z
1026091915;ATIVO;EE PROFESSORA GERALDA EUGÚNIA DA SILVA;EEPGEDSZ
1026091916;ATIVO;EE DE ENSINO FUNDAMENTAL ANOS FINAIS E ENSINO MÉDIO;EEDEFAFEEM3Z
1026091917;ATIVO;EE JOSÉ PEREIRA DOS SANTOS;EEJPDS2Z
1026091918;ATIVO;EE PROFESSOR ERNESTO CARNEIRO SANTIAGO;EEPECSZ
1026091919;ATIVO;CESEC MARIA VIEIRA BARBOSA;CMVBZ
