
"Relatório 1"

"UnidadeOrçam - Código";"UnidadeOrçam - Nome";"UnidadeOrçam - Código-Nome";"UnidadeOrçam - Sigla";"Classificação Jurídica Orçam - Código";"Classificação Jurídica Orçam - Descrição";"Tipo Administração Orçam"
"20431";"AGÊNCIA DE DESENVOLVIMENTO DA REGIÃO METROPOLITANA DE BELO HORIZONTE";"20431 - AGÊNCIA DE DESENVOLVIMENTO DA REGIÃO METROPOLITANA DE BELO HORIZONTE";"AGÊNCIA RMBH";"N/A";"N/A";"N/A"
"20431";"AGÊNCIA DE DESENVOLVIMENTO DA REGIÃO METROPOLITANA DE BELO HORIZONTE.";"20431 - AGÊNCIA DE DESENVOLVIMENTO DA REGIÃO METROPOLITANA DE BELO HORIZONTE.";"ARMBH";"N/A";"N/A";"N/A"
"20441";"AGÊNCIA REGULADORA DE SERVIÇOS DE ABASTECIMENTO DE ÁGUA E DE ESGOTAMENTO SANITÁRIO DO ESTADO DE MINAS GERAIS";"20441 - AGÊNCIA REGULADORA DE SERVIÇOS DE ABASTECIMENTO DE ÁGUA E DE ESGOTAMENTO SANITÁRIO DO ESTADO DE MINAS GERAIS";"ARSAE-MG";"1";"SECRETARIA";"DIREITA"
"20441";"AGÊNCIA REGULADORA DE SERVIÇOS DE ABASTECIMENTO DE ÁGUA E DE ESGOTAMENTO SANITÁRIO DO ESTADO DE MINAS GERAIS.";"20441 - AGÊNCIA REGULADORA DE SERVIÇOS DE ABASTECIMENTO DE ÁGUA E DE ESGOTAMENTO SANITÁRIO DO ESTADO DE MINAS GERAIS.";"ARSAEMG";"1";"SECRETARIA";"DIREITA"
"20461";"AGÊNCIA DE DESENVOLVIMENTO DA REGIÃO METROPOLITANA DO VALE DO AÇO";"20461 - AGÊNCIA DE DESENVOLVIMENTO DA REGIÃO METROPOLITANA DO VALE DO AÇO";"ARMVA";"N/A";"N/A";"N/A"
"30041";"EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS";"30041 - EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS";"EMATER";"6";"EMPRESA CONTROLADA";"INDIRETA"
"30051";"EMPRESA DE PESQUISA AGROPECUÁRIA DE MINAS GERAIS";"30051 - EMPRESA DE PESQUISA AGROPECUÁRIA DE MINAS GERAIS";"EPAMIG";"N/A";"N/A";"N/A"
"30151";"EMPRESA MINEIRA DE COMUNICAÇÃO";"30151 - EMPRESA MINEIRA DE COMUNICAÇÃO";"EMC";"N/A";"N/A";"N/A"
"30151";"EMPRESA MINEIRA DE COMUNICAÇÃO";"30151 - EMPRESA MINEIRA DE COMUNICAÇÃO";"EMC";"6";"EMPRESA CONTROLADA";"INDIRETA"
"40031";"FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS";"40031 - FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS";"FEPJ";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"40031";"FUNDO ESPECIAL DO PODER JUDICIÁRIO DO ESTADO DE MINAS GERAIS";"40031 - FUNDO ESPECIAL DO PODER JUDICIÁRIO DO ESTADO DE MINAS GERAIS";"FEPJ";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"40091";"FUNDO PARA A INFÂNCIA E A ADOLESCÊNCIA";"40091 - FUNDO PARA A INFÂNCIA E A ADOLESCÊNCIA";"FIA";"N/A";"N/A";"N/A"
"40091";"FUNDO PARA A INFÂNCIA E A ADOLESCÊNCIA";"40091 - FUNDO PARA A INFÂNCIA E A ADOLESCÊNCIA";"FIA";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"40101";"FUNDO ESTADUAL DE HABITAÇÃO";"40101 - FUNDO ESTADUAL DE HABITAÇÃO";"FEH";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"40101";"FUNDO ESTADUAL DE HABITAÇÃO";"40101 - FUNDO ESTADUAL DE HABITAÇÃO";"FEH";"3";"FUNDAÇÃO";"INDIRETA"
"40101";"FUNDO ESTADUAL DE HABITAÇÃO";"40101 - FUNDO ESTADUAL DE HABITAÇÃO";"FEH";"5";"EMPRESA ESTADUAL DEPENDENTE";"INDIRETA"
"40111";"FUNDO DE FOMENTO E DESENVOLVIMENTO SOCIOECONOMICO DO ESTADO DE MINAS GERAIS";"40111 - FUNDO DE FOMENTO E DESENVOLVIMENTO SOCIOECONOMICO DO ESTADO DE MINAS GERAIS";"FUNDESE";"N/A";"N/A";"N/A"
"40111";"FUNDO DE FOMENTO E DESENVOLVIMENTO SOCIOECONÔMICO DO ESTADO DE MINAS GERAIS";"40111 - FUNDO DE FOMENTO E DESENVOLVIMENTO SOCIOECONÔMICO DO ESTADO DE MINAS GERAIS";"FUNDESE";"N/A";"N/A";"N/A"
"40121";"FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS";"40121 - FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS";"FUNDHAB";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"40121";"FUNDO DE APOIO HABITACIONAL DA ASSEMBLÉIA LEGISLATIVA DE MINAS GERAIS";"40121 - FUNDO DE APOIO HABITACIONAL DA ASSEMBLÉIA LEGISLATIVA DE MINAS GERAIS";"FUNDHAB";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"40141";"FUNDO PENITENCIARIO ESTADUAL";"40141 - FUNDO PENITENCIARIO ESTADUAL";"FPE";"N/A";"N/A";"N/A"
"40141";"FUNDO PENITENCIARIO ESTADUAL";"40141 - FUNDO PENITENCIARIO ESTADUAL";"FPE";"3";"FUNDAÇÃO";"INDIRETA"
"40141";"FUNDO PENITENCIÁRIO ESTADUAL";"40141 - FUNDO PENITENCIÁRIO ESTADUAL";"FPE";"N/A";"N/A";"N/A"
"40151";"FUNDO DE ASSISTENCIA AO TURISMO";"40151 - FUNDO DE ASSISTENCIA AO TURISMO";"FASTUR";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"40151";"FUNDO DE ASSISTÊNCIA AO TURISMO";"40151 - FUNDO DE ASSISTÊNCIA AO TURISMO";"FASTUR";"3";"FUNDAÇÃO";"INDIRETA"
"40171";"FUNDO ESTADUAL DE DESENVOLVIMENTO RURAL";"40171 - FUNDO ESTADUAL DE DESENVOLVIMENTO RURAL";"FUNDERUR";"N/A";"N/A";"N/A"
"40171";"FUNDO ESTADUAL DE DESENVOLVIMENTO RURAL";"40171 - FUNDO ESTADUAL DE DESENVOLVIMENTO RURAL";"FUNDERUR";"3";"FUNDAÇÃO";"INDIRETA"
"40251";"FUNDO ESTADUAL DE ASSISTENCIA SOCIAL";"40251 - FUNDO ESTADUAL DE ASSISTENCIA SOCIAL";"FEAS";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"40251";"FUNDO ESTADUAL DE ASSISTENCIA SOCIAL";"40251 - FUNDO ESTADUAL DE ASSISTENCIA SOCIAL";"FEAS";"3";"FUNDAÇÃO";"INDIRETA"
"40251";"FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL";"40251 - FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL";"FEAS";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"40291";"FUNDO ESTADUAL DE SAÚDE";"40291 - FUNDO ESTADUAL DE SAÚDE";"AFES";"N/A";"N/A";"N/A"
"40291";"FUNDO ESTADUAL DE SAÚDE";"40291 - FUNDO ESTADUAL DE SAÚDE";"AFES";"3";"FUNDAÇÃO";"INDIRETA"
"40291";"FUNDO ESTADUAL DE SAÚDE";"40291 - FUNDO ESTADUAL DE SAÚDE";"FES";"N/A";"N/A";"N/A"
"40321";"FUNDO ESTADUAL DE PREVENÇÃO, FISCALIZAÇÃO E REPRESSÃO DE ENTORPECENTES";"40321 - FUNDO ESTADUAL DE PREVENÇÃO, FISCALIZAÇÃO E REPRESSÃO DE ENTORPECENTES";"FUNPREN";"N/A";"N/A";"N/A"
"40321";"FUNDO ESTADUAL DE PREVENÇÃO, FISCALIZAÇÃO E REPRESSÃO DE ENTORPECENTES";"40321 - FUNDO ESTADUAL DE PREVENÇÃO, FISCALIZAÇÃO E REPRESSÃO DE ENTORPECENTES";"FUNPREN";"3";"FUNDAÇÃO";"INDIRETA"
"40331";"FUNDO DE DESENVOLVIMENTO METROPOLITANO";"40331 - FUNDO DE DESENVOLVIMENTO METROPOLITANO";"FDM";"N/A";"N/A";"N/A"
"40331";"FUNDO DE DESENVOLVIMENTO METROPOLITANO";"40331 - FUNDO DE DESENVOLVIMENTO METROPOLITANO";"FDM";"3";"FUNDAÇÃO";"INDIRETA"
"40341";"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE MINAS GERAIS";"40341 - FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE MINAS GERAIS";"FHIDRO";"N/A";"N/A";"N/A"
"40341";"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE MINAS GERAIS";"40341 - FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE MINAS GERAIS";"FHIDRO";"3";"FUNDAÇÃO";"INDIRETA"
"40341";"FUNDO DE RECUPERAÇÃO, PROTEÇÃO E DESENVOLVIMENTO SUSTENTÁVEL DAS BACIAS HIDROGRÁFICAS DO ESTADO DE MINAS GERAIS";"40341 - FUNDO DE RECUPERAÇÃO, PROTEÇÃO E DESENVOLVIMENTO SUSTENTÁVEL DAS BACIAS HIDROGRÁFICAS DO ESTADO DE MINAS GERAIS";"FHIDRO";"N/A";"N/A";"N/A"
"40341";"FUNDO DE RECUPERAÇÃO, PROTEÇÃO E DESENVOLVIMENTO SUSTENTÁVEL DAS BACIAS HIDROGRÁFICAS DO ESTADO DE MINAS GERAIS";"40341 - FUNDO DE RECUPERAÇÃO, PROTEÇÃO E DESENVOLVIMENTO SUSTENTÁVEL DAS BACIAS HIDROGRÁFICAS DO ESTADO DE MINAS GERAIS";"FHIDRO";"3";"FUNDAÇÃO";"INDIRETA"
"40381";"0FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"40381 - 0FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"FUNTRANS";"N/A";"N/A";"N/A"
"40381";"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"40381 - FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"FUNTRANS";"N/A";"N/A";"N/A"
"40381";"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"40381 - FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"FUNTRANS";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"40421";"FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS";"40421 - FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS";"FUNDIF";"N/A";"N/A";"N/A"
"40421";"FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS";"40421 - FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS";"FUNDIF";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"40441";"FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS";"40441 - FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS";"FUNEMP";"N/A";"N/A";"N/A"
"40441";"FUNDO ESPECIAL DO MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS";"40441 - FUNDO ESPECIAL DO MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS";"FUNEMP";"N/A";"N/A";"N/A"
"40451";"FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR";"40451 - FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR";"FEPDC";"N/A";"N/A";"N/A"
"40451";"FUNDO ESTADUAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR";"40451 - FUNDO ESTADUAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR";"FEPDC";"N/A";"N/A";"N/A"
"40461";"FUNDO FINANCEIRO DE PREVIDENCIA";"40461 - FUNDO FINANCEIRO DE PREVIDENCIA";"FUNFIP";"3";"FUNDAÇÃO";"INDIRETA"
"40461";"FUNDO FINANCEIRO DE PREVIDÊNCIA";"40461 - FUNDO FINANCEIRO DE PREVIDÊNCIA";"FUNFIP";"N/A";"N/A";"N/A"
"40491";"FUNDO ESTADUAL DE CULTURA";"40491 - FUNDO ESTADUAL DE CULTURA";"AFEC";"N/A";"N/A";"N/A"
"40491";"FUNDO ESTADUAL DE CULTURA";"40491 - FUNDO ESTADUAL DE CULTURA";"AFEC";"3";"FUNDAÇÃO";"INDIRETA"
"40491";"FUNDO ESTADUAL DE CULTURA";"40491 - FUNDO ESTADUAL DE CULTURA";"FEC";"N/A";"N/A";"N/A"
"40521";"FUNDO DE UNIVERSALIZAÇÃO DO ACESSO A SERVIÇOS DE TELECOMUNICAÇÃO EM MINAS GERAIS";"40521 - FUNDO DE UNIVERSALIZAÇÃO DO ACESSO A SERVIÇOS DE TELECOMUNICAÇÃO EM MINAS GERAIS";"FUNDOMIC";"1";"SECRETARIA";"DIREITA"
"40531";"FUNDO DE INCENTIVO A INOVACAO TECNOLOGICA";"40531 - FUNDO DE INCENTIVO A INOVACAO TECNOLOGICA";"FIIT";"N/A";"N/A";"N/A"
"40531";"FUNDO DE INCENTIVO À INOVAÇÃO TECNOLÓGICA";"40531 - FUNDO DE INCENTIVO À INOVAÇÃO TECNOLÓGICA";"FIIT";"N/A";"N/A";"N/A"
"40541";"FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS";"40541 - FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS";"FAHMEMG";"N/A";"N/A";"N/A"
"40541";"FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS";"40541 - FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS";"FAHMEMG";"2";"AUTARQUIA";"INDIRETA"
"40551";"FUNDO DE ASSISTENCIA AO PECULIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"40551 - FUNDO DE ASSISTENCIA AO PECULIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"FUNAPEC";"3";"FUNDAÇÃO";"INDIRETA"
"40551";"FUNDO DE ASSISTÊNCIA AO PECÚLIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"40551 - FUNDO DE ASSISTÊNCIA AO PECÚLIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"FUNAPEC";"N/A";"N/A";"N/A"
"40581";"FUNDO ESTADUAL DO CAFÉ";"40581 - FUNDO ESTADUAL DO CAFÉ";"FECAFÉ";"N/A";"N/A";"N/A"
"40591";"FUNDO PREVIDENCIÁRIO DE MINAS GERAIS";"40591 - FUNDO PREVIDENCIÁRIO DE MINAS GERAIS";"FUNPREV";"N/A";"N/A";"N/A"
"40601";"FUNDO ESTADUAL DOS DIREITOS DO IDOSO";"40601 - FUNDO ESTADUAL DOS DIREITOS DO IDOSO";"FEI";"N/A";"N/A";"N/A"
"40601";"FUNDO ESTADUAL DOS DIREITOS DO IDOSO";"40601 - FUNDO ESTADUAL DOS DIREITOS DO IDOSO";"FEI";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"40611";"FUNDO DO TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"40611 - FUNDO DO TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"FUNCONTAS";"3";"FUNDAÇÃO";"INDIRETA"
"40621";"FUNDO DE INVESTIMENTO DO ESTADO DE MINAS GERAIS";"40621 - FUNDO DE INVESTIMENTO DO ESTADO DE MINAS GERAIS";"MGINVESTE";"N/A";"N/A";"N/A"
"40631";"FUNDO DE PAGAMENTO DE PARCERIAS PÚBLICO - PRIVADAS DE MINAS GERAIS";"40631 - FUNDO DE PAGAMENTO DE PARCERIAS PÚBLICO - PRIVADAS DE MINAS GERAIS";"FPPMG";"N/A";"N/A";"N/A"
"40631";"FUNDO DE PAGAMENTO DE PARCERIAS PÚBLICO-PRIVADAS DE MINAS GERAIS";"40631 - FUNDO DE PAGAMENTO DE PARCERIAS PÚBLICO-PRIVADAS DE MINAS GERAIS";"FPPMG";"N/A";"N/A";"N/A"
"40641";"FUNDO DE GARANTIAS DE PARCERIAS PÚBLICO-PRIVADAS";"40641 - FUNDO DE GARANTIAS DE PARCERIAS PÚBLICO-PRIVADAS";"FGP-MG";"N/A";"N/A";"N/A"
"40641";"FUNDO DE GARANTIAS DE PARCERIAS PÚBLICO - PRIVADAS DE MINAS GERAIS";"40641 - FUNDO DE GARANTIAS DE PARCERIAS PÚBLICO - PRIVADAS DE MINAS GERAIS";"FGPMG";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"40651";"FUNDO ESPECIAL DE CRÉDITOS INADIMPLIDOS E DÍVIDA ATIVA";"40651 - FUNDO ESPECIAL DE CRÉDITOS INADIMPLIDOS E DÍVIDA ATIVA";"FECIDAT";"N/A";"N/A";"N/A"
"40661";"FUNDO DE ATIVOS IMOBILIÁRIOS DE MINAS GERAIS";"40661 - FUNDO DE ATIVOS IMOBILIÁRIOS DE MINAS GERAIS";"FAIMG";"N/A";"N/A";"N/A"
"40671";"FUNDO DE INVESTIMENTOS IMOBILIÁRIOS DE MINAS GERAIS";"40671 - FUNDO DE INVESTIMENTOS IMOBILIÁRIOS DE MINAS GERAIS";"FIIMG";"N/A";"N/A";"N/A"
"40681";"FUNDO ESPECIAL REGISTRAL DE REGULARIZAÇÃO FUNDIÁRIA DE INTERESSE SOCIAL";"40681 - FUNDO ESPECIAL REGISTRAL DE REGULARIZAÇÃO FUNDIÁRIA DE INTERESSE SOCIAL";"FERRFIS";"N/A";"N/A";"N/A"
"40691";"FUNDO ESTADUAL DE SEGURANÇA PÚBLICA DE MINAS GERAIS";"40691 - FUNDO ESTADUAL DE SEGURANÇA PÚBLICA DE MINAS GERAIS";"FESPMG";"N/A";"N/A";"N/A"
"40701";"FUNDO ESTADUAL DO TRABALHO DE MINAS GERAIS";"40701 - FUNDO ESTADUAL DO TRABALHO DE MINAS GERAIS";"FET-MG";"N/A";"N/A";"N/A"
"40711";"FUNDO FINANCEIRO DE PREVIDÊNCIA DO ESTADO DE MINAS GERAIS";"40711 - FUNDO FINANCEIRO DE PREVIDÊNCIA DO ESTADO DE MINAS GERAIS";"FFPMG";"6";"EMPRESA CONTROLADA";"INDIRETA"
"40721";"FUNDO ESTADUAL DE PREVIDÊNCIA DO ESTADO DE MINAS GERAIS ";"40721 - FUNDO ESTADUAL DE PREVIDÊNCIA DO ESTADO DE MINAS GERAIS ";"FEPREMG";"6";"EMPRESA CONTROLADA";"INDIRETA"
"50011";"COMPANHIA DE DESENVOLVIMENTO ECONÔMICO DE MINAS GERAIS";"50011 - COMPANHIA DE DESENVOLVIMENTO ECONÔMICO DE MINAS GERAIS";"CODEMIG";"N/A";"N/A";"N/A"
"50012";"COMPANHIA DE DESENVOLVIMENTO ECONÔMICO DE MINAS GERAIS";"50012 - COMPANHIA DE DESENVOLVIMENTO ECONÔMICO DE MINAS GERAIS";"CODEMIG";"N/A";"N/A";"N/A"
"50031";"COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS";"50031 - COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS";"CODEMG";"N/A";"N/A";"N/A"
"50071";"COMPANHIA DE HABITAÇÃO DO ESTADO DE MINAS GERAIS";"50071 - COMPANHIA DE HABITAÇÃO DO ESTADO DE MINAS GERAIS";"COHAB";"5";"EMPRESA ESTADUAL DEPENDENTE";"INDIRETA"
"50081";"COMPANHIA DE SANEAMENTO DE MINAS GERAIS";"50081 - COMPANHIA DE SANEAMENTO DE MINAS GERAIS";"COPASA";"N/A";"N/A";"N/A"
"50121";"COMPANHIA ENERGÉTICA DE MINAS GERAIS";"50121 - COMPANHIA ENERGÉTICA DE MINAS GERAIS";"CEMIG HOLDING";"N/A";"N/A";"N/A"
"50131";"INSTITUTO DE DESENVOLVIMENTO INTEGRADO DE MINAS GERAIS";"50131 - INSTITUTO DE DESENVOLVIMENTO INTEGRADO DE MINAS GERAIS";"INDI";"N/A";"N/A";"N/A"
"50141";"COMPANHIA DE TECNOLOGIA DA INFORMAÇÃO DO ESTADO DE MINAS GERAIS";"50141 - COMPANHIA DE TECNOLOGIA DA INFORMAÇÃO DO ESTADO DE MINAS GERAIS";"PRODEMGE";"N/A";"N/A";"N/A"
"50191";"MINAS GERAIS PARTICIPAÇÕES S.A";"50191 - MINAS GERAIS PARTICIPAÇÕES S.A";"MGI";"N/A";"N/A";"N/A"
"50191";"MINAS GERAIS PARTICIPAÇÕES S.A.";"50191 - MINAS GERAIS PARTICIPAÇÕES S.A.";"MGI";"N/A";"N/A";"N/A"
"50201";"BANCO DE DESENVOLVIMENTO DE MINAS GERAIS";"50201 - BANCO DE DESENVOLVIMENTO DE MINAS GERAIS";"BDMG";"N/A";"N/A";"N/A"
"50201";"BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A";"50201 - BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A";"BDMG";"N/A";"N/A";"N/A"
"50251";"COMPANHIA DE GÁS DE MINAS GERAIS";"50251 - COMPANHIA DE GÁS DE MINAS GERAIS";"GASMIG";"N/A";"N/A";"N/A"
"50261";"TREM METROPOLITANO DE BELO HORIZONTE S.A";"50261 - TREM METROPOLITANO DE BELO HORIZONTE S.A";"TREM METROPOLITANO";"N/A";"N/A";"N/A"
"50261";"TREM METROPOLITANO DE BELO HORIZONTE S.A.";"50261 - TREM METROPOLITANO DE BELO HORIZONTE S.A.";"TREM METROPOLITANO";"N/A";"N/A";"N/A"
"50381";"MINAS GERAIS ADMINISTRAÇÃO E SERVIÇOS S.A";"50381 - MINAS GERAIS ADMINISTRAÇÃO E SERVIÇOS S.A";"MGS";"N/A";"N/A";"N/A"
"50381";"MINAS GERAIS ADMINISTRAÇÃO E SERVIÇOS S.A.";"50381 - MINAS GERAIS ADMINISTRAÇÃO E SERVIÇOS S.A.";"MGS";"N/A";"N/A";"N/A"
"50391";"CEMIG GERAÇÃO E TRANSMISSÃO S.A";"50391 - CEMIG GERAÇÃO E TRANSMISSÃO S.A";"CEMIG GERAÇÃO E TRANSMISSÃO";"N/A";"N/A";"N/A"
"50401";"CEMIG DISTRIBUIÇÃO S.A";"50401 - CEMIG DISTRIBUIÇÃO S.A";"CEMIG DISTRIBUIDORA";"1";"SECRETARIA";"DIREITA"
"50511";"COPASA - SERVIÇOS DE SANEAMENTO INTEGRADO DO NORTE E NORDESTE DE MINAS GERAIS S/A";"50511 - COPASA - SERVIÇOS DE SANEAMENTO INTEGRADO DO NORTE E NORDESTE DE MINAS GERAIS S/A";"COPANOR";"N/A";"N/A";"N/A"
"90801";"EMG - FOLHA CENTRALIZADA";"90801 - EMG - FOLHA CENTRALIZADA";"EMGFC";"N/A";"N/A";"N/A"
"90901";"UNIDADE CENTRAL FINANCEIRA ";"90901 - UNIDADE CENTRAL FINANCEIRA ";"UOEGE";"N/A";"N/A";"N/A"
"90901";"UNIDADE CENTRAL FINANCEIRA ";"90901 - UNIDADE CENTRAL FINANCEIRA ";"UOEGE";"6";"EMPRESA CONTROLADA";"INDIRETA"
"90902";"ENCARGOS GERAIS DO ESTADO - SECRETARIA DE ESTADO DE FAZENDA";"90902 - ENCARGOS GERAIS DO ESTADO - SECRETARIA DE ESTADO DE FAZENDA";"EGE SEF";"N/A";"N/A";"N/A"
"N/A";"N/A";"N/A - N/A";"N/A";"N/A";"N/A";"N/A"

